檔名	來源網址	下載時間	SHA256	位元組
學位授予辦法.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/508320688.pdf	2026-08-30T00:26:27+08:00	30f72f6b6c04418f	88466
學生學業成績處理作業要點.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/147483034.pdf	2026-08-30T00:26:28+08:00	c8e64c1976d90486	128902
學士班成績優異學生繼續修讀碩士學位作業規則.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/293770824.pdf	2026-08-30T00:26:28+08:00	6e1d310faacd8fa6	70611
學生修讀輔系辦法.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/781553401.pdf	2026-08-30T00:26:28+08:00	47274d030600e5f2	126156
學生修讀雙主修辦法.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/378086589.pdf	2026-08-30T00:26:29+08:00	42c39f8cdcdd14a0	122108
研究生轉系辦法.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/806245209.pdf	2026-08-30T00:26:29+08:00	1663c05052bad82b	100442
學生證製發及使用規則.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/628932960.pdf	2026-08-30T00:26:29+08:00	e3d2e43c44558441	67001
學士班學生學業成績優良獎勵辦法.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/858250226.pdf	2026-08-30T00:26:30+08:00	6a9509b6f1c1939e	80505
學雜費收取及調整作業要點.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/355306954.pdf	2026-08-30T00:26:30+08:00	507f5bc17f743293	99184
學歷文件驗證作業要點.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/663656956.pdf	2026-08-30T00:26:30+08:00	10bdec15e97289f1	398516
學雜費收費標準.pdf	https://curriculum.ncnu.edu.tw/var/file/49/1049/img/161677205.pdf	2026-08-30T00:26:31+08:00	4df85df8a3b7e64b	348627
學生請假規則_115.6.10修正.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/906524657.pdf	2026-08-30T00:27:32+08:00	e569e3ae3498ee66	188170
學生獎懲辦法_115修正.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/237094768.pdf	2026-08-30T00:27:32+08:00	5ef2f2b20521cbe9	145055
學士班清寒助學金作業須知.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/860711869.pdf	2026-08-30T00:27:33+08:00	cdceae4ad8991385	91218
學生操行成績考評辦法_114修正.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/297817787.pdf	2026-08-30T00:27:33+08:00	ec864f17dd84d986	66029
學生急難救助辦法_114.11.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/244215397.pdf	2026-08-30T00:27:33+08:00	a77e655ef215a338	268324
學生獎助學金作業要點.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/670484272.pdf	2026-08-30T00:27:34+08:00	b15924338a5a1752	69301
學生生活助學金作業要點_114.11.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/292570280.pdf	2026-08-30T00:27:34+08:00	6b8da9aa3a0a1492	161348
學生工讀管理辦法.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/261025712.pdf	2026-08-30T00:27:35+08:00	75113e813fb3654c	287079
學生學習預警暨輔導辦法.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/709756578.pdf	2026-08-30T00:27:35+08:00	10801ead50b3acb1	152134
導師制實施辦法_11503修正.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/164098133.pdf	2026-08-30T00:27:35+08:00	3ee11804ac073129	187016
銷過實施要點.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/151/151994847.pdf	2026-08-30T00:27:36+08:00	8bb91dbd8fed1520	250693
學生申訴辦法_114核定.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/881083762.pdf	2026-08-30T00:27:36+08:00	77e44259c8e6f590	183662
復原力優秀學生獎助學金申請要點.pdf	https://assistance.ncnu.edu.tw/var/file/79/1079/img/845358278.pdf	2026-08-30T00:27:36+08:00	ee0be8d178c55c78	140961
學術倫理教育課程實施要點.pdf	https://regist.ncnu.edu.tw/var/file/54/1054/img/412269899.pdf	2026-08-30T00:36:46+08:00	05b024c75a801fe6	132262
